date_added,company,title,region,source,url,score,status,next_action,notes
2026-09-20,Wave (Wave Mobile Money),Brand Communications Manager,afrique_francophone,recherche web,https://jobs.khoslaventures.com/companies/wave-mobile-money-2/jobs/64994917-brand-communications-manager,,CV/lettre prêts — à relire et envoyer,,"Bon fit sectoriel (fintech, cf. Moov Money). Relire l'annonce complète avant envoi."
2026-09-20,egg (events agency),Head of Creative,europe_anglophone,recherche web,https://careers.egg-events.com/jobs/7952500-head-of-creative-event-agency,,CV/lettre prêts — à relire et envoyer,,"Couvre UK/Belgique/France en un poste. Ecart affiché: 10+ ans requis vs 8+ ans réels, adressé frontalement dans la lettre."
2026-09-20,Trust Wallet,Creative Director,remote_global,recherche web,https://jobs.ashbyhq.com/trust-wallet/fb56b546-acb4-40c4-8cfe-78ab85e176b4,,CV/lettre prêts — à relire et envoyer,,"Fiche la moins détaillée des 3 : pas d'infos fiables sur séniorité/salaire attendus pour ce poste précis, à vérifier sur l'annonce complète avant tout."
2026-09-20,Kraken,"Executive Creative Director, Head of Brand",remote_global,recherche web,https://jobs.ashbyhq.com/kraken.com/dd0b2f70-2823-4529-a226-d20ec5e2a342,,poste identifié — à qualifier,,"Poste confirmé trouvé via recherche web, à vérifier en détail avant candidature."
2026-09-20,Coinbase,Associate Creative Director,remote_global,recherche web,,,CV/lettre prêts — à relire et envoyer,,CV/lettre prêts. Écart honnête assumé : pas d'expérience onchain (2+ ans requis).
2026-09-20,OpenSea,Creative Director,remote_global,recherche web,https://jobs.ashbyhq.com/OpenSea/b4f82883-b8dd-4953-b4b8-241583cd4384,,poste identifié — à qualifier,,"Poste confirmé trouvé via recherche web, à vérifier en détail avant candidature."
2026-09-20,Binance,Senior Creative,remote_global,recherche web,https://web3.career/creative-director-binance/51126,,poste identifié — à qualifier,,"Poste confirmé trouvé via recherche web, à vérifier en détail avant candidature."
2026-09-20,OpenAI,"Creative Director, Copy",remote_global,recherche web,https://jobs.ashbyhq.com/openai/a5136d9d-c22a-4c12-a776-483f63ef1120,,poste identifié — à qualifier,,"Poste confirmé trouvé via recherche web, à vérifier en détail avant candidature."
2026-09-20,Bumble Inc.,Creative Director,remote_global,recherche web,https://jobs.ashbyhq.com/bumbleinc/a229fe2d-acb6-43f6-a25e-2b51a9183797,,poste identifié — à qualifier,,"Poste confirmé trouvé via recherche web, à vérifier en détail avant candidature."
2026-09-20,Gamma,Creative Director,remote_global,recherche web,https://jobs.ashbyhq.com/gamma/9c3f69f7-c14d-4c28-b9ef-0220c070330e,,poste identifié — à qualifier,,"Poste confirmé trouvé via recherche web, à vérifier en détail avant candidature."
2026-09-20,Applied Intuition,"Creative Director, Brand",remote_global,recherche web,https://jobs.ashbyhq.com/applied/f91187ef-4285-466b-8e53-67c911865bee,,poste identifié — à qualifier,,"Poste confirmé trouvé via recherche web, à vérifier en détail avant candidature."
2026-09-20,Flock Safety,Creative Director,remote_global,recherche web,https://jobs.ashbyhq.com/flock%20safety/770a09d8-c6f7-4de5-83f9-29bdaa9db140,,poste identifié — à qualifier,,"Poste confirmé trouvé via recherche web, à vérifier en détail avant candidature."
